"plot","species_1","species_2","species_3","heigth_A","heigth_B","heigth_C","heigth_D","PAR_sup","PAR_inf","nitrogen","date","PAR_start","PAR_end","first_flower","mean_height"
"164","22","Cb","To","Pm",15,5.5,8,8,183,183,"1",2020-05-02,"11h00","12h50",NA,9.125
"165","23","Lp","To","Ra",30,15,12.5,30,170,51,"0",2020-05-02,"11h00","12h50",NA,21.875
"166","23","Lp","To","Ra",35,30,31,39,170,22,"1",2020-05-02,"11h00","12h50",NA,33.75
"167","24","Be","Pt","Pg",8.5,24,21.5,12,181,116,"0",2020-05-02,"11h00","12h50",NA,16.5
"168","24","Be","Pt","Pg",11,18,15,20.5,181,60,"1",2020-05-02,"11h00","12h50",NA,16.125
"169","25","Be","Ra","Pm",11.5,15,11,13,183,155,"0",2020-05-02,"11h00","12h50",NA,12.625
"170","25","Be","Ra","Pm",20,14.5,15.5,23,183,7,"1",2020-05-02,"11h00","12h50",NA,18.25
"171","26","Fr","Hl","To",18,14,37,9,180,135,"0",2020-05-02,"11h00","12h50",NA,19.5
"172","26","Fr","Hl","To",33,18,19,25,180,47,"1",2020-05-02,"11h00","12h50",NA,23.75
"173","27","Hl","Sp","Pg",17,16.5,28,17,180,87,"0",2020-05-02,"11h00","12h50",NA,19.625
"174","27","Hl","Sp","Pg",11,5.5,11.5,10.5,180,128,"1",2020-05-02,"11h00","12h50",NA,9.625
"175","28","Fr","Hl","Dc",14.5,0,0,27,185,96,"0",2020-05-02,"11h00","12h50",NA,10.375
"176","28","Fr","Hl","Dc",33.5,22,26,33.5,185,50,"1",2020-05-02,"11h00","12h50",NA,28.75
"177","29","Hl","Lp","Ra",13.5,16,33,14.5,182,119,"0",2020-05-02,"11h00","12h50",NA,19.25
"178","29","Hl","Lp","Ra",22,14,28,28,182,75,"1",2020-05-02,"11h00","12h50",NA,23
"179","30","Fr","Ra","Pm",15,5,5.5,7,175,91,"0",2020-05-02,"11h00","12h50",NA,8.125
"180","30","Fr","Ra","Pm",29,14.5,13,14,175,29,"1",2020-05-02,"11h00","12h50",NA,17.625
"181","31","Pt","Pg","Ra",10,6.5,10.5,14,179,13.3,"0",2020-05-02,"11h00","12h50",NA,10.25
"182","31","Pt","Pg","Ra",25,19,18,14.5,179,4.3,"1",2020-05-02,"11h00","12h50",NA,19.125
"183","32","Be","Pt","Sp",9,14,14,10.5,180,175,"0",2020-05-02,"11h00","12h50",NA,11.875
"184","32","Be","Pt","Sp",6,13,10,9.5,180,27,"1",2020-05-02,"11h00","12h50",NA,9.625
"185","33","Be","Sp","Ra",8,0,14,9,180,175,"0",2020-05-02,"11h00","12h50",NA,7.75
"186","33","Be","Sp","Ra",19,19,7.5,6.5,180,99,"1",2020-05-02,"11h00","12h50",NA,13
"187","34","Fr","Pt","Sp",36,28,9,11,175,125,"0",2020-05-02,"11h00","12h50",NA,21
"188","34","Fr","Pt","Sp",34.5,27.5,20.5,37.5,175,9.5,"1",2020-05-02,"11h00","12h50",NA,30
"189","35","Hl","Pt","Ra",11,21,16,17,170,27,"0",2020-05-02,"11h00","12h50",NA,16.25
"190","35","Hl","Pt","Ra",12,33.5,16,29.5,170,99,"1",2020-05-02,"11h00","12h50",NA,22.75
"191","36","Fr","To","Dc",27,29,25.5,16.5,175,20,"0",2020-05-02,"11h00","12h50",NA,24.5
"192","36","Fr","To","Dc",0,43,27,16,175,16.5,"1",2020-05-02,"11h00","12h50",NA,21.5
"193","37","Lp","Cb","Pg",23.5,0,2.5,10.5,174,120,"0",2020-05-02,"11h00","12h50",NA,9.125
"194","37","Lp","Cb","Pg",0,0,13.5,26,174,172,"1",2020-05-02,"11h00","12h50",NA,9.875
"195","38","Hl","Pg","Pm",10,20,17.5,6,176,68,"0",2020-05-02,"11h00","12h50",NA,13.375
"196","38","Hl","Pg","Pm",7,10.5,22,12.5,176,87,"1",2020-05-02,"11h00","12h50",NA,13
"197","39","Be","Fr","To",5,13.5,11,0,175,95,"0",2020-05-02,"11h00","12h50",NA,7.375
"198","39","Be","Fr","To",20,16,11,20.5,175,107,"1",2020-05-02,"11h00","12h50",NA,16.875
"199","40","Cb","Ra","Pm",7,7,9.5,15,170,27,"0",2020-05-02,"11h00","12h50",NA,9.625
"200","40","Cb","Ra","Pm",14,7,8.5,12,170,30,"1",2020-05-02,"11h00","12h50",NA,10.375
"201","41","Fr","Pt","Cb",0,0,6,12,169,140,"0",2020-05-02,"11h00","12h50",NA,4.5
"202","41","Fr","Pt","Cb",14,0,15,21,173,64,"1",2020-05-02,"11h00","12h50",NA,12.5
"203","42","Be","Hl","Pt",23,25,17,0,170,40,"0",2020-05-02,"11h00","12h50",NA,16.25
"204","42","Be","Hl","Pt",29,32,0,37,170,42,"1",2020-05-02,"11h00","12h50",NA,24.5
"205","43","Lp","Cb","Dc",20,11,5,17,162,118,"0",2020-05-02,"11h00","12h50",NA,13.25
"206","43","Lp","Cb","Dc",11,0,8,26,160,78,"1",2020-05-02,"11h00","12h50",NA,11.25
"207","44","Lp","Cb","Ra",27,16,18.5,28.5,160,91,"0",2020-05-02,"11h00","12h50",NA,22.5
"208","44","Lp","Cb","Ra",27,18.5,19,8.5,162,102,"1",2020-05-02,"11h00","12h50",NA,18.25
"209","45","Fr","Hl","Sp",22.5,21,21,25,155,88,"0",2020-05-02,"11h00","12h50",NA,22.375
"210","45","Fr","Hl","Sp",34,39,26.5,33,160,11.7,"1",2020-05-02,"11h00","12h50",NA,33.125
"211","46","Be","Lp","Dc",24.5,18.5,0,35,158,69,"0",2020-05-02,"11h00","12h50",NA,19.5
"212","46","Be","Lp","Dc",38,21,28,38.5,158,34,"1",2020-05-02,"11h00","12h50",NA,31.375
"213","47","Fr","Lp","Pt",28.5,24.5,39,20,158,36,"0",2020-05-02,"11h00","12h50",NA,28
"214","47","Fr","Lp","Pt",39.5,37.5,38.5,42,158,54,"1",2020-05-02,"11h00","12h50",NA,39.375
"215","48","Pg","Ra","Pm",6,5,9,22,157,151,"0",2020-05-02,"11h00","12h50",NA,10.5
"216","48","Pg","Ra","Pm",18,22.5,16,25,157,53,"1",2020-05-02,"11h00","12h50",NA,20.375
"217","49","Pg","-","-",3,3.5,2,3,190,190,"0",2020-05-02,"11h00","12h50","0",2.875
"218","49","Pg","-","-",4,0,0,2.5,190,190,"1",2020-05-02,"11h00","12h50","0",1.625
"219","50","Sp","-","-",4,3,4.5,5,190,190,"0",2020-05-02,"11h00","12h50","0",4.125
"220","50","Sp","-","-",8,7.5,6,3,190,40,"1",2020-05-02,"11h00","12h50","0",6.125
"221","51","Cb","-","-",5,0,4,0,186,186,"0",2020-05-02,"11h00","12h50","1",2.25
"222","51","Cb","-","-",7.5,6,8,4,186,152,"1",2020-05-02,"11h00","12h50","1",6.375
"223","52","Dc","-","-",0,0,7,0,189,169,"0",2020-05-02,"11h00","12h50","0",1.75
"224","52","Dc","-","-",0,0,0,0,189,189,"1",2020-05-02,"11h00","12h50","0",0
"225","53","Fr","-","-",18,0,22,30.5,188,127,"0",2020-05-02,"11h00","12h50","0",17.625
"226","53","Fr","-","-",17,27.5,30,25,188,118,"1",2020-05-02,"11h00","12h50","0",24.875
"227","54","Hl","-","-",0,0,25,32,192,109,"0",2020-05-02,"11h00","12h50","0",14.25
